# Original NPC roster for the independent Eloria test continent.
npc | Aven | emberhaven | 58 | 62 | dialogue | actor_type=256 | Welcome to Emberhaven. I can explain the roads and neighboring regions.
npc | Mara Venn | emberhaven | 52 | 58 | storage | actor_type=257 | I keep a careful ledger and can safeguard your supplies.
npc | Sella | emberhaven | 64 | 58 | dialogue | actor_type=258 | Rest here if the road has taken too much from you.
npc | Brannic | emberhaven | 70 | 54 | dialogue | actor_type=259 | Good tools begin with patient hands and honest metal.
npc | Rowan Vale | verdant_reach | 58 | 58 | dialogue | actor_type=260 | Every plant leaves clues about the soil that raised it.
npc | Ilyra | cinder_wastes | 58 | 58 | dialogue | actor_type=261 | Power is safest when curiosity is balanced by restraint.
npc | Captain Tor | glasswind | 58 | 58 | dialogue | actor_type=262 | Keep to the marked road and report anything following you.
npc | Pell | mirefen | 58 | 58 | dialogue | actor_type=263 | The channels shift, but I always find a safe crossing.
npc | Tamsin Quill | emberhaven | 66 | 60 | auction | actor_type=256 | Welcome to the Nymara Exchange. I keep every listing in secure escrow.

# Nymara regional services, quest clients, and cultural guides.
npc | Vestra | mirrorhold |  92 |  91 | dialogue | actor_type=300 | The mirrored roads reveal what each region needs. I coordinate gathering work across Nymara.
npc | Liora | mirrorhold | 111 |  92 | storage | actor_type=301 | Mirrorhold keeps one ledger for every lawful wayfarer.
npc | Sigil Keeper Oreth | mirrorhold |  107 |  97 | sigil | actor_type=301 | All twenty-six sigils are for sale here. Choose carefully; understanding their danger takes longer than buying them. | price=700; sigils=0-25
npc | Lens-Master Corvine Ast | mirrorhold | 199 | 296 | dialogue | actor_type=304 | The Citadel grinds one lens a year. This year's is cracked, and nobody will say who dropped it.
npc | Orrery Keeper Sabel Roon | mirrorhold | 193 | 296 | dialogue | actor_type=308 | The Orrery has run without stopping for two hundred years. It stopped for eleven minutes last month.
npc | Basin Reader Tallis Mire | mirrorhold | 231 | 208 | dialogue | actor_type=322 | The mirror basins read the lake's mood. Lately the lake is in a mood I have no word for.
npc | Quarry Foreman Hesk | mirrorhold | 320 | 210 | dialogue | actor_type=368 | Stone remembers the hand that cut it. So do I, and I am cheaper to consult.
npc | Canal Factor Odile Wren | mirrorhold | 142 | 142 | dialogue | actor_type=344 | Terrace freight, insured both ways. Read the second page. That is where the money is.
npc | Stair-Town Reeve Padric | mirrorhold | 86 | 117 | dialogue | actor_type=310 | Nine hundred souls on eleven ledges. I know every one of them, and most of their debts.
npc | Aqueduct Warden Sunna | mirrorhold | 332 | 157 | dialogue | actor_type=365 | Meltwater comes down my channel or it comes down the town. I have opinions about which.
npc | Quay Master Belen Tarr | mirrorhold | 285 | 112 | dialogue | actor_type=351 | The North Quay takes anything but arguments. Take those to the Lens Gate.
npc | Crown Watcher Ilva Sende | mirrorhold | 147 |  93 | dialogue | actor_type=300 | From here, on a still day, you can see the Drowned Crown. Do not tell the Greyhaven that.
npc | Shrine-Keeper Mattias | mirrorhold |  76 |  90 | dialogue | actor_type=307 | Travellers leave a coin, a name, or a grudge. I keep all three, in separate boxes.
npc | Bench Steward Aurel Fane | mirrorhold | 53 | 110 | dialogue | actor_type=300 | The west bench feeds itself and is proud of it. That pride is thinner than it was.
npc | Cistern Clerk Nim Halloway | mirrorhold | 152 | 123 | dialogue | actor_type=328 | I measure what the cisterns hold and what leaves them. The two have stopped agreeing.
npc | Maelis | crownwater | 117 | 116 | dialogue | actor_type=302 | The ferries need regular supplies. I can arrange delivery contracts throughout the lake country.
npc | Daro Pell | crownwater | 95 | 116 | shop | actor_type=346 | Rope, food, and medicine keep a ferry moving when speeches do not.
npc | Basilica Sexton Oren Vale | crownwater | 206 | 191 | dialogue | actor_type=307 | The Basilica floor is the old court's ceiling. I sweep it and try not to think about that.
npc | Campanile Ringer Iska | crownwater | 251 | 228 | dialogue | actor_type=306 | Nine bells for the ferries, one for the dead, and one I am not permitted to ring.
npc | Customs Officer Hallon Brace | crownwater | 125 | 108 | dialogue | actor_type=347 | Everything that leaves the lake is declared here. Everything that comes up out of it is argued about here.
npc | Salvage Mistress Gero Lund | crownwater | 151 | 137 | dialogue | actor_type=343 | Salvage law is simple. What the water took, the finder keeps. Say that near a Ssarathi and watch.
npc | Sunken Court Diver Teth-Sa | crownwater | 93 | 144 | dialogue | actor_type=353 | I have been down to the court twice. Both times, something down there was already tidy.
npc | Pavilion Cook Mirren Sallow | crownwater | 96 | 101 | dialogue | actor_type=304 | Ferry crews eat what the ferry brought. Some weeks that is a great deal of eel.
npc | Lamp Ferrier Ottick Rue | crownwater | 123 | 148 | dialogue | actor_type=350 | Lantern at the bow, lantern at the stern, and never one amidships. Ask the midships man why.
npc | Net-Mender Calla Fisk | crownwater | 109 | 142 | dialogue | actor_type=341 | Bring me a torn net and a story. I will mend one of them.
npc | Pearl Diver Ansil Quen | crownwater | 287 | 189 | dialogue | actor_type=309 | Twenty years of pearls out of this water, and it has never once given me the same shell twice.
npc | Chartsman Devrin Aisle | crownwater | 304 | 212 | dialogue | actor_type=351 | My charts are correct. The lake keeps disagreeing, which is the lake's problem.
npc | Drowned-Court Claimant Sesh-Va | crownwater | 219 | 187 | dialogue | actor_type=358 | My lineage held that water before it was water. I have the stela. Nobody has the stela's twin.
npc | Toran | four_gates | 180 | 192 | dialogue | actor_type=307 | Every road brings a different danger. I post hunting work suited to a traveller's experience.
npc | Nima Vey | four_gates | 228 | 192 | auction | actor_type=309 | The Nymara Exchange holds goods and proceeds in escrow for every registered traveller.
npc | Gate Warden Ilyon | four_gates | 194 | 313 | guide | actor_type=308 | Four roads meet here. Keep your weapons low and your purpose clear.
npc | Wayfinder Nesh | four_gates | 198 | 152 | tutorial | actor_type=307 | New to the four roads? I can show you how to gather, fight and make your way here.
npc | Tallykeeper Ysolde | four_gates | 218 | 190 | novac | actor_type=302 | Every region sends me its count. Hunt what I name, in the order I name it.
npc | Ferryman Caldus | four_gates | 130 | 245 | dialogue | actor_type=310 | My lantern marks the safe channel when the lake mist closes in.
